split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h
test,fixtures/images/test/tractor_008.jpg,fixtures/labels/test/tractor_008.txt,tractor,3,0.768,review,0.050,0.434,0.530,0.150,0.205
val,fixtures/images/val/tractor_010.jpg,fixtures/labels/val/tractor_010.txt,tractor,3,0.740,review,0.130,0.674,0.350,0.150,0.205
test,fixtures/images/test/tractor_011.jpg,fixtures/labels/test/tractor_011.txt,tractor,3,0.726,auto,0.170,0.806,0.410,0.150,0.205
train,fixtures/images/train/tractor_099.jpg,fixtures/labels/train/tractor_099.txt,tractor,3,0.940,auto,0.170,0.850,0.590,0.150,0.205
val,fixtures/images/val/slipper_001.jpg,fixtures/labels/val/slipper_001.txt,slipper,4,0.866,auto,0.090,0.326,0.410,0.160,0.220
test,fixtures/images/test/slipper_002.jpg,fixtures/labels/test/slipper_002.txt,slipper,4,0.852,review,0.130,0.434,0.470,0.160,0.220
val,fixtures/images/val/slipper_004.jpg,fixtures/labels/val/slipper_004.txt,slipper,4,0.824,review,0.050,0.674,0.590,0.160,0.220
test,fixtures/images/test/slipper_005.jpg,fixtures/labels/test/slipper_005.txt,slipper,4,0.810,auto,0.090,0.806,0.350,0.160,0.220
val,fixtures/images/val/slipper_007.jpg,fixtures/labels/val/slipper_007.txt,slipper,4,0.782,auto,0.170,0.326,0.470,0.160,0.220
test,fixtures/images/test/slipper_008.jpg,fixtures/labels/test/slipper_008.txt,slipper,4,0.768,review,0.050,0.434,0.530,0.160,0.220
val,fixtures/images/val/slipper_010.jpg,fixtures/labels/val/slipper_010.txt,slipper,4,0.740,review,0.130,0.674,0.350,0.160,0.220
test,fixtures/images/test/slipper_011.jpg,fixtures/labels/test/slipper_011.txt,slipper,4,0.726,auto,0.170,0.806,0.410,0.160,0.220
train,fixtures/images/train/slipper_099.jpg,fixtures/labels/train/slipper_099.txt,slipper,4,0.940,auto,0.170,0.850,0.590,0.160,0.220
val,fixtures/images/val/smoking_001.jpg,fixtures/labels/val/smoking_001.txt,smoking,5,0.866,auto,0.090,0.326,0.410,0.170,0.235
test,fixtures/images/test/smoking_002.jpg,fixtures/labels/test/smoking_002.txt,smoking,5,0.852,review,0.130,0.434,0.470,0.170,0.235
val,fixtures/images/val/smoking_004.jpg,fixtures/labels/val/smoking_004.txt,smoking,5,0.824,review,0.050,0.674,0.590,0.170,0.235
test,fixtures/images/test/smoking_005.jpg,fixtures/labels/test/smoking_005.txt,smoking,5,0.810,auto,0.090,0.806,0.350,0.170,0.235
val,fixtures/images/val/smoking_007.jpg,fixtures/labels/val/smoking_007.txt,smoking,5,0.782,auto,0.170,0.326,0.470,0.170,0.235
test,fixtures/images/test/smoking_008.jpg,fixtures/labels/test/smoking_008.txt,smoking,5,0.768,review,0.050,0.434,0.530,0.170,0.235
val,fixtures/images/val/smoking_010.jpg,fixtures/labels/val/smoking_010.txt,smoking,5,0.740,review,0.130,0.674,0.350,0.170,0.235
test,fixtures/images/test/smoking_011.jpg,fixtures/labels/test/smoking_011.txt,smoking,5,0.726,auto,0.170,0.806,0.410,0.170,0.235
train,fixtures/images/train/smoking_099.jpg,fixtures/labels/train/smoking_099.txt,smoking,5,0.940,auto,0.170,0.850,0.590,0.170,0.235
