candidate_id,class_name,conf,verdict,split,max_iou_same_class
person-0069,person,0.4193,reject,train,0.1133
person-0070,person,0.4211,reject,val,0.1950
person-0071,person,0.4228,reject,test,0.0550
person-0072,person,0.4245,accept,train,0.1367
person-0073,person,0.4262,reject,val,0.2183
person-0074,person,0.4280,reject,test,0.0783
person-0075,person,0.4297,reject,train,0.1600
person-0076,person,0.4314,reject,val,0.0200
person-0077,person,0.4332,reject,test,0.1017
person-0078,person,0.4349,reject,train,0.1833
person-0079,person,0.4366,reject,val,0.0433
person-0080,person,0.4383,accept,test,0.1250
person-0081,person,0.4401,reject,train,0.2067
person-0082,person,0.4418,reject,val,0.0667
person-0083,person,0.4435,reject,test,0.1483
person-0084,person,0.4453,reject,train,0.2300
person-0085,person,0.4470,reject,val,0.0900
person-0086,person,0.4487,reject,test,0.1717
person-0087,person,0.4505,reject,train,0.0317
person-0088,person,0.4522,accept,val,0.1133
person-0089,person,0.4539,reject,test,0.1950
person-0090,person,0.4556,reject,train,0.0550
person-0091,person,0.4574,reject,val,0.1367
person-0092,person,0.4591,reject,test,0.2183
person-0093,person,0.4608,reject,train,0.0783
person-0094,person,0.4626,reject,val,0.1600
person-0095,person,0.4643,reject,test,0.0200
person-0096,person,0.4660,accept,train,0.1017
person-0097,person,0.4677,reject,val,0.1833
person-0098,person,0.4695,reject,test,0.0433
person-0099,person,0.4712,reject,train,0.1250
person-0100,person,0.4729,reject,val,0.2067
person-0101,person,0.4747,reject,test,0.0667
person-0102,person,0.4764,reject,train,0.1483
person-0103,person,0.4781,reject,val,0.2300
person-0104,person,0.4798,accept,test,0.0900
person-0105,person,0.4816,reject,train,0.1717
person-0106,person,0.4833,reject,val,0.0317
person-0107,person,0.4850,reject,test,0.1133
person-0108,person,0.4868,reject,train,0.1950
person-0109,person,0.4885,reject,val,0.0550
person-0110,person,0.4902,reject,test,0.1367
person-0111,person,0.4920,reject,train,0.2183
person-0112,person,0.4937,accept,val,0.0783
person-0113,person,0.4954,reject,test,0.1600
person-0114,person,0.4971,reject,train,0.0200
person-0115,person,0.4989,reject,val,0.1017
person-0116,person,0.5006,accept,test,0.1833
person-0117,person,0.5023,accept,train,0.0433
person-0118,person,0.5041,accept,val,0.1250
person-0119,person,0.5058,accept,test,0.2067
person-0120,person,0.5075,reject,train,0.0667
person-0121,person,0.5092,accept,val,0.1483
person-0122,person,0.5110,accept,test,0.2300
person-0123,person,0.5127,accept,train,0.0900
person-0124,person,0.5144,accept,val,0.1717
person-0125,person,0.5162,reject,test,0.0317
person-0126,person,0.5179,accept,train,0.1133
person-0127,person,0.5196,accept,val,0.1950
person-0128,person,0.5214,accept,test,0.0550
person-0129,person,0.5231,accept,train,0.1367
person-0130,person,0.5248,reject,val,0.2183
person-0131,person,0.5265,accept,test,0.0783
person-0132,person,0.5283,accept,train,0.1600
person-0133,person,0.5300,accept,val,0.0200
person-0134,person,0.5317,accept,test,0.1017
person-0135,person,0.5335,reject,train,0.1833
person-0136,person,0.5352,accept,val,0.0433
person-0137,person,0.5369,accept,test,0.1250
person-0138,person,0.5386,accept,train,0.2067
person-0139,person,0.5404,accept,val,0.0667
person-0140,person,0.5421,reject,test,0.1483
person-0141,person,0.5438,accept,train,0.2300
person-0142,person,0.5456,accept,val,0.0900
person-0143,person,0.5473,accept,test,0.1717
person-0144,person,0.5490,accept,train,0.0317
person-0145,person,0.5508,reject,val,0.1133
person-0146,person,0.5525,accept,test,0.1950
person-0147,person,0.5542,accept,train,0.0550
person-0148,person,0.5559,accept,val,0.1367
person-0149,person,0.5577,accept,test,0.2183
person-0150,person,0.5594,reject,train,0.0783
person-0151,person,0.5611,accept,val,0.1600
person-0152,person,0.5629,accept,test,0.0200
person-0153,person,0.5646,accept,train,0.1017
person-0154,person,0.5663,accept,val,0.1833
person-0155,person,0.5680,reject,test,0.0433
person-0156,person,0.5698,accept,train,0.1250
person-0157,person,0.5715,accept,val,0.2067
person-0158,person,0.5732,accept,test,0.0667
person-0159,person,0.5750,accept,train,0.1483
person-0160,person,0.5767,reject,val,0.2300
person-0161,person,0.5784,accept,test,0.0900
person-0162,person,0.5802,accept,train,0.1717
person-0163,person,0.5819,accept,val,0.0317
person-0164,person,0.5836,accept,test,0.1133
person-0165,person,0.5853,reject,train,0.1950
person-0166,person,0.5871,accept,val,0.0550
person-0167,person,0.5888,accept,test,0.1367
person-0168,person,0.5905,accept,train,0.2183
person-0169,person,0.5923,accept,val,0.0783
person-0170,person,0.5940,reject,test,0.1600
person-0171,person,0.5957,accept,train,0.0200
person-0172,person,0.5974,accept,val,0.1017
person-0173,person,0.5992,accept,test,0.1833
person-0174,person,0.6009,accept,train,0.0433
person-0175,person,0.6026,reject,val,0.1250
person-0176,person,0.6044,accept,test,0.2067
person-0177,person,0.6061,accept,train,0.0667
person-0178,person,0.6078,accept,val,0.1483
person-0179,person,0.6095,accept,test,0.2300
person-0180,person,0.6113,reject,train,0.0900
person-0181,person,0.6130,accept,val,0.1717
person-0182,person,0.6147,accept,test,0.0317
person-0183,person,0.6165,accept,train,0.1133
person-0184,person,0.6182,accept,val,0.1950
person-0185,person,0.6199,reject,test,0.0550
person-0186,person,0.6217,accept,train,0.1367
person-0187,person,0.6234,accept,val,0.2183
person-0188,person,0.6251,accept,test,0.0783
person-0189,person,0.6268,accept,train,0.1600
person-0190,person,0.6286,reject,val,0.0200
person-0191,person,0.6303,accept,test,0.1017
person-0192,person,0.6320,accept,train,0.1833
person-0193,person,0.6338,accept,val,0.0433
person-0194,person,0.6355,accept,test,0.1250
person-0195,person,0.6372,reject,train,0.2067
person-0196,person,0.6389,accept,val,0.0667
person-0197,person,0.6407,accept,test,0.1483
person-0198,person,0.6424,accept,train,0.2300
person-0199,person,0.6441,accept,val,0.0900
person-0200,person,0.6459,reject,test,0.1717
person-0201,person,0.6476,accept,train,0.0317
person-0202,person,0.6493,accept,val,0.1133
person-0203,person,0.6511,accept,test,0.1950
person-0204,person,0.6528,accept,train,0.0550
person-0205,person,0.6545,reject,val,0.1367
person-0206,person,0.6562,accept,test,0.2183
person-0207,person,0.6580,accept,train,0.0783
person-0208,person,0.6597,accept,val,0.1600
person-0209,person,0.6614,accept,test,0.0200
person-0210,person,0.6632,reject,train,0.1017
person-0211,person,0.6649,accept,val,0.1833
person-0212,person,0.6666,accept,test,0.0433
person-0213,person,0.6683,accept,train,0.1250
person-0214,person,0.6701,accept,val,0.2067
person-0215,person,0.6718,reject,test,0.0667
person-0216,person,0.6735,accept,train,0.1483
person-0217,person,0.6753,accept,val,0.2300
person-0218,person,0.6770,accept,test,0.0900
person-0219,person,0.6787,accept,train,0.1717
person-0220,person,0.6805,reject,val,0.0317
person-0221,person,0.6822,accept,test,0.1133
person-0222,person,0.6839,accept,train,0.1950
person-0223,person,0.6856,accept,val,0.0550
person-0224,person,0.6874,accept,test,0.1367
person-0225,person,0.6891,reject,train,0.2183
person-0226,person,0.6908,accept,val,0.0783
person-0227,person,0.6926,accept,test,0.1600
person-0228,person,0.6943,accept,train,0.0200
person-0229,person,0.6960,accept,val,0.1017
person-0230,person,0.6977,reject,test,0.1833
person-0231,person,0.6995,accept,train,0.0433
person-0232,person,0.7012,accept,val,0.1250
person-0233,person,0.7029,accept,test,0.2067
person-0234,person,0.7047,accept,train,0.0667
person-0235,person,0.7064,reject,val,0.1483
person-0236,person,0.7081,accept,test,0.2300
person-0237,person,0.7098,accept,train,0.0900
person-0238,person,0.7116,accept,val,0.1717
person-0239,person,0.7133,accept,test,0.0317
person-0240,person,0.7150,reject,train,0.1133
person-0241,person,0.7168,accept,val,0.1950
person-0242,person,0.7185,accept,test,0.0550
person-0243,person,0.7202,accept,train,0.1367
person-0244,person,0.7220,accept,val,0.2183
person-0245,person,0.7237,reject,test,0.0783
person-0246,person,0.7254,accept,train,0.1600
person-0247,person,0.7271,accept,val,0.0200
person-0248,person,0.7289,accept,test,0.1017
person-0249,person,0.7306,accept,train,0.1833
person-0250,person,0.7323,reject,val,0.0433
person-0251,person,0.7341,accept,test,0.1250
person-0252,person,0.7358,accept,train,0.2067
person-0253,person,0.7375,accept,val,0.0667
person-0254,person,0.7392,accept,test,0.1483
person-0255,person,0.7410,reject,train,0.2300
person-0256,person,0.7427,accept,val,0.0900
person-0257,person,0.7444,accept,test,0.1717
person-0258,person,0.7462,accept,train,0.0317
person-0259,person,0.7479,accept,val,0.1133
person-0260,person,0.7496,reject,test,0.1950
person-0261,person,0.7514,accept,train,0.0550
person-0262,person,0.7531,accept,val,0.1367
person-0263,person,0.7548,accept,test,0.2183
person-0264,person,0.7565,accept,train,0.0783
person-0265,person,0.7583,reject,val,0.1600
person-0266,person,0.7600,accept,test,0.0200
person-0267,person,0.7617,accept,train,0.1017
person-0268,person,0.7635,accept,val,0.1833
person-0269,person,0.7652,accept,test,0.0433
person-0270,person,0.7669,reject,train,0.1250
person-0271,person,0.7686,accept,val,0.2067
person-0272,person,0.7704,accept,test,0.0667
person-0273,person,0.7721,accept,train,0.1483
person-0274,person,0.7738,accept,val,0.2300
person-0275,person,0.7756,reject,test,0.0900
person-0276,person,0.7773,accept,train,0.1717
person-0277,person,0.7790,accept,val,0.0317
person-0278,person,0.7808,accept,test,0.1133
person-0279,person,0.7825,accept,train,0.1950
person-0280,person,0.7842,accept,val,0.0550
person-0281,person,0.7859,accept,test,0.1367
person-0282,person,0.7877,accept,train,0.2183
person-0283,person,0.7894,accept,val,0.0783
person-0284,person,0.7911,accept,test,0.1600
person-0285,person,0.7929,accept,train,0.0200
person-0286,person,0.7946,accept,val,0.1017
person-0287,person,0.7963,accept,test,0.1833
person-0288,person,0.7980,accept,train,0.0433
person-0289,person,0.7998,accept,val,0.1250
person-0290,person,0.8015,accept,test,0.2067
person-0291,person,0.8032,accept,train,0.0667
person-0292,person,0.8050,accept,val,0.1483
person-0293,person,0.8067,accept,test,0.2300
person-0294,person,0.8084,accept,train,0.0900
person-0295,person,0.8102,accept,val,0.1717
person-0296,person,0.8119,accept,test,0.0317
person-0297,person,0.8136,accept,train,0.1133
person-0298,person,0.8153,accept,val,0.1950
person-0299,person,0.8171,accept,test,0.0550
person-0300,person,0.8188,accept,train,0.1367
person-0301,person,0.8205,accept,val,0.2183
person-0302,person,0.8223,accept,test,0.0783
person-0303,person,0.8240,accept,train,0.1600
person-0304,person,0.8257,accept,val,0.0200
person-0305,person,0.8274,accept,test,0.1017
person-0306,person,0.8292,accept,train,0.1833
person-0307,person,0.8309,accept,val,0.0433
person-0308,person,0.8326,accept,test,0.1250
person-0309,person,0.8344,accept,train,0.2067
person-0310,person,0.8361,accept,val,0.0667
person-0311,person,0.8378,accept,test,0.1483
person-0312,person,0.8395,accept,train,0.2300
person-0313,person,0.8413,accept,val,0.0900
person-0314,person,0.8430,accept,test,0.1717
person-0315,person,0.8447,accept,train,0.0317
person-0316,person,0.8465,accept,val,0.1133
person-0317,person,0.8482,accept,test,0.1950
person-0318,person,0.8499,accept,train,0.0550
person-0319,person,0.8517,accept,val,0.1367
person-0320,person,0.8534,accept,test,0.2183
person-0321,person,0.8551,accept,train,0.0783
person-0322,person,0.8568,accept,val,0.1600
person-0323,person,0.8586,accept,test,0.0200
person-0324,person,0.8603,accept,train,0.1017
person-0325,person,0.8620,accept,val,0.1833
person-0326,person,0.8638,accept,test,0.0433
person-0327,person,0.8655,accept,train,0.1250
person-0328,person,0.8672,accept,val,0.2067
person-0329,person,0.8689,accept,test,0.0667
person-0330,person,0.8707,accept,train,0.1483
person-0331,person,0.8724,accept,val,0.2300
person-0332,person,0.8741,accept,test,0.0900
person-0333,person,0.8759,accept,train,0.1717
person-0334,person,0.8776,accept,val,0.0317
person-0335,person,0.8793,accept,test,0.1133
person-0336,person,0.8811,accept,train,0.1950
person-0337,person,0.8828,accept,val,0.0550
person-0338,person,0.8845,accept,test,0.1367
person-0339,person,0.8862,accept,train,0.2183
person-0340,person,0.8880,accept,val,0.0783
person-0341,person,0.8897,accept,test,0.1600
person-0342,person,0.8914,accept,train,0.0200
person-0343,person,0.8932,accept,val,0.1017
person-0344,person,0.8949,accept,test,0.1833
person-0345,person,0.8966,accept,train,0.0433
person-0346,person,0.8983,accept,val,0.1250
person-0347,person,0.9001,accept,test,0.2067
person-0348,person,0.9018,accept,train,0.0667
person-0349,person,0.9035,accept,val,0.1483
person-0350,person,0.9053,accept,test,0.2300
person-0351,person,0.9070,accept,train,0.0900
person-0352,person,0.9087,accept,val,0.1717
person-0353,person,0.9105,accept,test,0.0317
person-0354,person,0.9122,accept,train,0.1133
person-0355,person,0.9139,accept,val,0.1950
person-0356,person,0.9156,accept,test,0.0550
person-0357,person,0.9174,accept,train,0.1367
person-0358,person,0.9191,accept,val,0.2183
person-0359,person,0.9208,accept,test,0.0783
person-0360,person,0.9226,accept,train,0.1600
person-0361,person,0.9243,accept,val,0.0200
person-0362,person,0.9260,accept,test,0.1017
person-0363,person,0.9277,accept,train,0.1833
person-0364,person,0.9295,accept,val,0.0433
person-0365,person,0.9312,accept,test,0.1250
person-0366,person,0.9329,accept,train,0.2067
person-0367,person,0.9347,accept,val,0.0667
person-0368,person,0.9364,accept,test,0.1483
person-0369,person,0.9381,accept,train,0.2300
person-0370,person,0.9398,accept,val,0.0900
person-0371,person,0.9416,accept,test,0.1717
person-0372,person,0.9433,accept,train,0.0317
person-0373,person,0.9450,accept,val,0.1133
person-0374,person,0.9468,accept,test,0.1950
person-0375,person,0.9485,accept,train,0.0550
person-0376,person,0.9502,accept,val,0.1367
person-0377,person,0.9520,accept,test,0.2183
person-0378,person,0.9537,accept,train,0.0783
person-0379,person,0.9554,accept,val,0.1600
person-0380,person,0.9571,accept,test,0.0200
person-0381,person,0.9589,accept,train,0.1017
person-0382,person,0.9606,accept,val,0.1833
person-0383,person,0.9623,accept,test,0.0433
person-0384,person,0.9641,accept,train,0.1250
person-0385,person,0.9658,accept,val,0.2067
person-0386,person,0.9675,accept,test,0.0667
person-0387,person,0.9692,accept,train,0.1483
person-0388,person,0.9710,accept,val,0.2300
person-0389,person,0.9727,accept,test,0.0900
person-0390,person,0.9744,accept,train,0.1717
person-0391,person,0.9762,accept,val,0.0317
person-0392,person,0.9779,accept,test,0.1133
person-0393,person,0.9796,accept,train,0.1950
person-0394,person,0.9814,accept,val,0.0550
person-0395,person,0.9831,accept,test,0.1367
person-0396,person,0.9848,accept,train,0.2183
person-0397,person,0.9865,accept,val,0.0783
person-0398,person,0.9883,accept,test,0.1600
person-0399,person,0.9900,accept,train,0.0200
helmet-0000,helmet,0.3000,reject,train,0.0317
helmet-0001,helmet,0.3017,reject,val,0.1133
helmet-0002,helmet,0.3035,reject,test,0.1950
helmet-0003,helmet,0.3052,reject,train,0.0550
helmet-0004,helmet,0.3069,reject,val,0.1367
helmet-0005,helmet,0.3086,reject,test,0.2183
helmet-0006,helmet,0.3104,accept,train,0.0783
helmet-0007,helmet,0.3121,reject,val,0.1600
helmet-0008,helmet,0.3138,reject,test,0.0200
helmet-0009,helmet,0.3156,reject,train,0.1017
helmet-0010,helmet,0.3173,reject,val,0.1833
helmet-0011,helmet,0.3190,reject,test,0.0433
helmet-0012,helmet,0.3208,reject,train,0.1250
helmet-0013,helmet,0.3225,reject,val,0.2067
helmet-0014,helmet,0.3242,accept,test,0.0667
helmet-0015,helmet,0.3259,reject,train,0.1483
helmet-0016,helmet,0.3277,reject,val,0.2300
helmet-0017,helmet,0.3294,reject,test,0.0900
helmet-0018,helmet,0.3311,reject,train,0.1717
helmet-0019,helmet,0.3329,reject,val,0.0317
helmet-0020,helmet,0.3346,reject,test,0.1133
helmet-0021,helmet,0.3363,reject,train,0.1950
helmet-0022,helmet,0.3380,accept,val,0.0550
helmet-0023,helmet,0.3398,reject,test,0.1367
helmet-0024,helmet,0.3415,reject,train,0.2183
helmet-0025,helmet,0.3432,reject,val,0.0783
helmet-0026,helmet,0.3450,reject,test,0.1600
helmet-0027,helmet,0.3467,reject,train,0.0200
helmet-0028,helmet,0.3484,reject,val,0.1017
helmet-0029,helmet,0.3502,reject,test,0.1833
helmet-0030,helmet,0.3519,accept,train,0.0433
helmet-0031,helmet,0.3536,reject,val,0.1250
helmet-0032,helmet,0.3553,reject,test,0.2067
helmet-0033,helmet,0.3571,reject,train,0.0667
helmet-0034,helmet,0.3588,reject,val,0.1483
helmet-0035,helmet,0.3605,reject,test,0.2300
helmet-0036,helmet,0.3623,reject,train,0.0900
helmet-0037,helmet,0.3640,reject,val,0.1717
helmet-0038,helmet,0.3657,accept,test,0.0317
helmet-0039,helmet,0.3674,reject,train,0.1133
helmet-0040,helmet,0.3692,reject,val,0.1950
helmet-0041,helmet,0.3709,reject,test,0.0550
helmet-0042,helmet,0.3726,reject,train,0.1367
helmet-0043,helmet,0.3744,reject,val,0.2183
helmet-0044,helmet,0.3761,reject,test,0.0783
helmet-0045,helmet,0.3778,reject,train,0.1600
helmet-0046,helmet,0.3795,accept,val,0.0200
helmet-0047,helmet,0.3813,reject,test,0.1017
helmet-0048,helmet,0.3830,reject,train,0.1833
helmet-0049,helmet,0.3847,reject,val,0.0433
helmet-0050,helmet,0.3865,reject,test,0.1250
helmet-0051,helmet,0.3882,reject,train,0.2067
helmet-0052,helmet,0.3899,reject,val,0.0667
helmet-0053,helmet,0.3917,reject,test,0.1483
helmet-0054,helmet,0.3934,accept,train,0.2300
helmet-0055,helmet,0.3951,reject,val,0.0900
helmet-0056,helmet,0.3968,reject,test,0.1717
helmet-0057,helmet,0.3986,reject,train,0.0317
helmet-0058,helmet,0.4003,reject,val,0.1133
helmet-0059,helmet,0.4020,reject,test,0.1950
helmet-0060,helmet,0.4038,reject,train,0.0550
helmet-0061,helmet,0.4055,reject,val,0.1367
helmet-0062,helmet,0.4072,accept,test,0.2183
helmet-0063,helmet,0.4089,reject,train,0.0783
helmet-0064,helmet,0.4107,reject,val,0.1600
helmet-0065,helmet,0.4124,reject,test,0.0200
helmet-0066,helmet,0.4141,reject,train,0.1017
helmet-0067,helmet,0.4159,reject,val,0.1833
helmet-0068,helmet,0.4176,reject,test,0.0433
helmet-0069,helmet,0.4193,reject,train,0.1250
helmet-0070,helmet,0.4211,accept,val,0.2067
helmet-0071,helmet,0.4228,reject,test,0.0667
helmet-0072,helmet,0.4245,reject,train,0.1483
helmet-0073,helmet,0.4262,reject,val,0.2300
helmet-0074,helmet,0.4280,reject,test,0.0900
helmet-0075,helmet,0.4297,reject,train,0.1717
helmet-0076,helmet,0.4314,reject,val,0.0317
helmet-0077,helmet,0.4332,reject,test,0.1133
helmet-0078,helmet,0.4349,accept,train,0.1950
helmet-0079,helmet,0.4366,reject,val,0.0550
helmet-0080,helmet,0.4383,reject,test,0.1367
helmet-0081,helmet,0.4401,reject,train,0.2183
helmet-0082,helmet,0.4418,reject,val,0.0783
helmet-0083,helmet,0.4435,reject,test,0.1600
helmet-0084,helmet,0.4453,reject,train,0.0200
helmet-0085,helmet,0.4470,reject,val,0.1017
helmet-0086,helmet,0.4487,accept,test,0.1833
helmet-0087,helmet,0.4505,reject,train,0.0433
helmet-0088,helmet,0.4522,reject,val,0.1250
helmet-0089,helmet,0.4539,reject,test,0.2067
helmet-0090,helmet,0.4556,reject,train,0.0667
helmet-0091,helmet,0.4574,reject,val,0.1483
helmet-0092,helmet,0.4591,reject,test,0.2300
helmet-0093,helmet,0.4608,reject,train,0.0900
helmet-0094,helmet,0.4626,accept,val,0.1717
helmet-0095,helmet,0.4643,reject,test,0.0317
helmet-0096,helmet,0.4660,reject,train,0.1133
helmet-0097,helmet,0.4677,reject,val,0.1950
helmet-0098,helmet,0.4695,reject,test,0.0550
helmet-0099,helmet,0.4712,reject,train,0.1367
helmet-0100,helmet,0.4729,reject,val,0.2183
helmet-0101,helmet,0.4747,reject,test,0.0783
helmet-0102,helmet,0.4764,accept,train,0.1600
helmet-0103,helmet,0.4781,reject,val,0.0200
helmet-0104,helmet,0.4798,reject,test,0.1017
helmet-0105,helmet,0.4816,reject,train,0.1833
helmet-0106,helmet,0.4833,reject,val,0.0433
helmet-0107,helmet,0.4850,reject,test,0.1250
helmet-0108,helmet,0.4868,reject,train,0.2067
helmet-0109,helmet,0.4885,reject,val,0.0667
helmet-0110,helmet,0.4902,accept,test,0.1483
helmet-0111,helmet,0.4920,reject,train,0.2300
helmet-0112,helmet,0.4937,reject,val,0.0900
helmet-0113,helmet,0.4954,reject,test,0.1717
helmet-0114,helmet,0.4971,reject,train,0.0317
helmet-0115,helmet,0.4989,reject,val,0.1133
helmet-0116,helmet,0.5006,reject,test,0.1950
helmet-0117,helmet,0.5023,reject,train,0.0550
helmet-0118,helmet,0.5041,accept,val,0.1367
helmet-0119,helmet,0.5058,reject,test,0.2183
helmet-0120,helmet,0.5075,reject,train,0.0783
helmet-0121,helmet,0.5092,reject,val,0.1600
helmet-0122,helmet,0.5110,reject,test,0.0200
helmet-0123,helmet,0.5127,reject,train,0.1017
helmet-0124,helmet,0.5144,reject,val,0.1833
helmet-0125,helmet,0.5162,reject,test,0.0433
helmet-0126,helmet,0.5179,accept,train,0.1250
helmet-0127,helmet,0.5196,reject,val,0.2067
helmet-0128,helmet,0.5214,accept,test,0.0667
helmet-0129,helmet,0.5231,reject,train,0.1483
helmet-0130,helmet,0.5248,accept,val,0.2300
helmet-0131,helmet,0.5265,accept,test,0.0900
helmet-0132,helmet,0.5283,accept,train,0.1717
helmet-0133,helmet,0.5300,accept,val,0.0317
helmet-0134,helmet,0.5317,reject,test,0.1133
helmet-0135,helmet,0.5335,accept,train,0.1950
helmet-0136,helmet,0.5352,accept,val,0.0550
helmet-0137,helmet,0.5369,accept,test,0.1367
helmet-0138,helmet,0.5386,accept,train,0.2183
helmet-0139,helmet,0.5404,reject,val,0.0783
helmet-0140,helmet,0.5421,accept,test,0.1600
helmet-0141,helmet,0.5438,accept,train,0.0200
helmet-0142,helmet,0.5456,accept,val,0.1017
helmet-0143,helmet,0.5473,accept,test,0.1833
helmet-0144,helmet,0.5490,reject,train,0.0433
helmet-0145,helmet,0.5508,accept,val,0.1250
helmet-0146,helmet,0.5525,accept,test,0.2067
helmet-0147,helmet,0.5542,accept,train,0.0667
helmet-0148,helmet,0.5559,accept,val,0.1483
helmet-0149,helmet,0.5577,reject,test,0.2300
helmet-0150,helmet,0.5594,accept,train,0.0900
helmet-0151,helmet,0.5611,accept,val,0.1717
helmet-0152,helmet,0.5629,accept,test,0.0317
helmet-0153,helmet,0.5646,accept,train,0.1133
helmet-0154,helmet,0.5663,reject,val,0.1950
helmet-0155,helmet,0.5680,accept,test,0.0550
helmet-0156,helmet,0.5698,accept,train,0.1367
helmet-0157,helmet,0.5715,accept,val,0.2183
helmet-0158,helmet,0.5732,accept,test,0.0783
helmet-0159,helmet,0.5750,reject,train,0.1600
helmet-0160,helmet,0.5767,accept,val,0.0200
helmet-0161,helmet,0.5784,accept,test,0.1017
helmet-0162,helmet,0.5802,accept,train,0.1833
helmet-0163,helmet,0.5819,accept,val,0.0433
helmet-0164,helmet,0.5836,reject,test,0.1250
helmet-0165,helmet,0.5853,accept,train,0.2067
helmet-0166,helmet,0.5871,accept,val,0.0667
helmet-0167,helmet,0.5888,accept,test,0.1483
helmet-0168,helmet,0.5905,accept,train,0.2300
helmet-0169,helmet,0.5923,reject,val,0.0900
helmet-0170,helmet,0.5940,accept,test,0.1717
helmet-0171,helmet,0.5957,accept,train,0.0317
helmet-0172,helmet,0.5974,accept,val,0.1133
helmet-0173,helmet,0.5992,accept,test,0.1950
helmet-0174,helmet,0.6009,reject,train,0.0550
helmet-0175,helmet,0.6026,accept,val,0.1367
helmet-0176,helmet,0.6044,accept,test,0.2183
helmet-0177,helmet,0.6061,accept,train,0.0783
helmet-0178,helmet,0.6078,accept,val,0.1600
helmet-0179,helmet,0.6095,reject,test,0.0200
helmet-0180,helmet,0.6113,accept,train,0.1017
helmet-0181,helmet,0.6130,accept,val,0.1833
helmet-0182,helmet,0.6147,accept,test,0.0433
helmet-0183,helmet,0.6165,accept,train,0.1250
helmet-0184,helmet,0.6182,reject,val,0.2067
helmet-0185,helmet,0.6199,accept,test,0.0667
helmet-0186,helmet,0.6217,accept,train,0.1483
helmet-0187,helmet,0.6234,accept,val,0.2300
helmet-0188,helmet,0.6251,accept,test,0.0900
helmet-0189,helmet,0.6268,reject,train,0.1717
helmet-0190,helmet,0.6286,accept,val,0.0317
helmet-0191,helmet,0.6303,accept,test,0.1133
helmet-0192,helmet,0.6320,accept,train,0.1950
helmet-0193,helmet,0.6338,accept,val,0.0550
helmet-0194,helmet,0.6355,reject,test,0.1367
helmet-0195,helmet,0.6372,accept,train,0.2183
helmet-0196,helmet,0.6389,accept,val,0.0783
