split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h,verifier_conf,agreement_iou,consensus_score,consensus_decision
train,fixtures/images/train/helmet_006.jpg,fixtures/labels/train/helmet_006.txt,helmet,1,0.812,review,0.130,0.200,0.410,0.130,0.175,,,,downgraded_to_review
val,fixtures/images/val/helmet_007.jpg,fixtures/labels/val/helmet_007.txt,helmet,1,0.794,auto,0.170,0.320,0.470,0.130,0.175,0.782000,0.911765,0.787977,agreed_auto
test,fixtures/images/test/helmet_008.jpg,fixtures/labels/test/helmet_008.txt,helmet,1,0.776,auto,0.050,0.440,0.530,0.130,0.175,0.768000,0.911765,0.771990,agreed_auto
train,fixtures/images/train/helmet_009.jpg,fixtures/labels/train/helmet_009.txt,helmet,1,0.758,review,0.090,0.560,0.590,0.130,0.175,,,,downgraded_to_review
val,fixtures/images/val/helmet_010.jpg,fixtures/labels/val/helmet_010.txt,helmet,1,0.740,auto,0.130,0.680,0.350,0.130,0.175,0.740000,0.911765,0.740000,agreed_auto
test,fixtures/images/test/helmet_011.jpg,fixtures/labels/test/helmet_011.txt,helmet,1,0.722,auto,0.170,0.800,0.410,0.130,0.175,0.726000,0.911765,0.723997,agreed_auto
train,fixtures/images/train/helmet_012.jpg,fixtures/labels/train/helmet_012.txt,helmet,1,0.704,review,0.050,0.200,0.470,0.130,0.175,,,,primary_review
val,fixtures/images/val/helmet_013.jpg,fixtures/labels/val/helmet_013.txt,helmet,1,0.686,review,0.090,0.320,0.530,0.130,0.175,,,,primary_review
test,fixtures/images/test/helmet_014.jpg,fixtures/labels/test/helmet_014.txt,helmet,1,0.668,review,0.130,0.440,0.590,0.130,0.175,,,,primary_review
train,fixtures/images/train/helmet_015.jpg,fixtures/labels/train/helmet_015.txt,helmet,1,0.650,review,0.170,0.560,0.350,0.130,0.175,,,,primary_review
train,fixtures/images/train/vest_000.jpg,fixtures/labels/train/vest_000.txt,vest,2,0.920,review,0.050,0.200,0.350,0.140,0.190,,,,downgraded_to_review
val,fixtures/images/val/vest_001.jpg,fixtures/labels/val/vest_001.txt,vest,2,0.902,auto,0.090,0.320,0.410,0.140,0.190,0.866000,0.917808,0.883817,agreed_auto
test,fixtures/images/test/vest_002.jpg,fixtures/labels/test/vest_002.txt,vest,2,0.884,auto,0.130,0.440,0.470,0.140,0.190,0.852000,0.917808,0.867853,agreed_auto
train,fixtures/images/train/vest_003.jpg,fixtures/labels/train/vest_003.txt,vest,2,0.866,review,0.170,0.560,0.530,0.140,0.190,,,,downgraded_to_review
val,fixtures/images/val/vest_004.jpg,fixtures/labels/val/vest_004.txt,vest,2,0.848,auto,0.050,0.680,0.590,0.140,0.190,0.824000,0.917808,0.835914,agreed_auto
test,fixtures/images/test/vest_005.jpg,fixtures/labels/test/vest_005.txt,vest,2,0.830,auto,0.090,0.800,0.350,0.140,0.190,0.810000,0.917808,0.819939,agreed_auto
train,fixtures/images/train/vest_006.jpg,fixtures/labels/train/vest_006.txt,vest,2,0.812,review,0.130,0.200,0.410,0.140,0.190,,,,downgraded_to_review
val,fixtures/images/val/vest_007.jpg,fixtures/labels/val/vest_007.txt,vest,2,0.794,auto,0.170,0.320,0.470,0.140,0.190,0.782000,0.917808,0.787977,agreed_auto
test,fixtures/images/test/vest_008.jpg,fixtures/labels/test/vest_008.txt,vest,2,0.776,auto,0.050,0.440,0.530,0.140,0.190,0.768000,0.917808,0.771990,agreed_auto
train,fixtures/images/train/vest_009.jpg,fixtures/labels/train/vest_009.txt,vest,2,0.758,review,0.090,0.560,0.590,0.140,0.190,,,,downgraded_to_review
val,fixtures/images/val/vest_010.jpg,fixtures/labels/val/vest_010.txt,vest,2,0.740,auto,0.130,0.680,0.350,0.140,0.190,0.740000,0.917808,0.740000,agreed_auto
test,fixtures/images/test/vest_011.jpg,fixtures/labels/test/vest_011.txt,vest,2,0.722,auto,0.170,0.800,0.410,0.140,0.190,0.726000,0.917808,0.723997,agreed_auto
train,fixtures/images/train/vest_012.jpg,fixtures/labels/train/vest_012.txt,vest,2,0.704,review,0.050,0.200,0.470,0.140,0.190,,,,primary_review
val,fixtures/images/val/vest_013.jpg,fixtures/labels/val/vest_013.txt,vest,2,0.686,review,0.090,0.320,0.530,0.140,0.190,,,,primary_review
test,fixtures/images/test/vest_014.jpg,fixtures/labels/test/vest_014.txt,vest,2,0.668,review,0.130,0.440,0.590,0.140,0.190,,,,primary_review
train,fixtures/images/train/vest_015.jpg,fixtures/labels/train/vest_015.txt,vest,2,0.650,review,0.170,0.560,0.350,0.140,0.190,,,,primary_review
train,fixtures/images/train/tractor_000.jpg,fixtures/labels/train/tractor_000.txt,tractor,3,0.920,review,0.050,0.200,0.350,0.150,0.205,,,,downgraded_to_review
val,fixtures/images/val/tractor_001.jpg,fixtures/labels/val/tractor_001.txt,tractor,3,0.902,auto,0.090,0.320,0.410,0.150,0.205,0.866000,0.923077,0.883817,agreed_auto
test,fixtures/images/test/tractor_002.jpg,fixtures/labels/test/tractor_002.txt,tractor,3,0.884,auto,0.130,0.440,0.470,0.150,0.205,0.852000,0.923077,0.867853,agreed_auto
train,fixtures/images/train/tractor_003.jpg,fixtures/labels/train/tractor_003.txt,tractor,3,0.866,review,0.170,0.560,0.530,0.150,0.205,,,,downgraded_to_review
val,fixtures/images/val/tractor_004.jpg,fixtures/labels/val/tractor_004.txt,tractor,3,0.848,auto,0.050,0.680,0.590,0.150,0.205,0.824000,0.923077,0.835914,agreed_auto
test,fixtures/images/test/tractor_005.jpg,fixtures/labels/test/tractor_005.txt,tractor,3,0.830,auto,0.090,0.800,0.350,0.150,0.205,0.810000,0.923077,0.819939,agreed_auto
train,fixtures/images/train/tractor_006.jpg,fixtures/labels/train/tractor_006.txt,tractor,3,0.812,review,0.130,0.200,0.410,0.150,0.205,,,,downgraded_to_review
val,fixtures/images/val/tractor_007.jpg,fixtures/labels/val/tractor_007.txt,tractor,3,0.794,auto,0.170,0.320,0.470,0.150,0.205,0.782000,0.923077,0.787977,agreed_auto
test,fixtures/images/test/tractor_008.jpg,fixtures/labels/test/tractor_008.txt,tractor,3,0.776,auto,0.050,0.440,0.530,0.150,0.205,0.768000,0.923077,0.771990,agreed_auto
train,fixtures/images/train/tractor_009.jpg,fixtures/labels/train/tractor_009.txt,tractor,3,0.758,review,0.090,0.560,0.590,0.150,0.205,,,,downgraded_to_review
val,fixtures/images/val/tractor_010.jpg,fixtures/labels/val/tractor_010.txt,tractor,3,0.740,auto,0.130,0.680,0.350,0.150,0.205,0.740000,0.923077,0.740000,agreed_auto
test,fixtures/images/test/tractor_011.jpg,fixtures/labels/test/tractor_011.txt,tractor,3,0.722,auto,0.170,0.800,0.410,0.150,0.205,0.726000,0.923077,0.723997,agreed_auto
train,fixtures/images/train/tractor_012.jpg,fixtures/labels/train/tractor_012.txt,tractor,3,0.704,review,0.050,0.200,0.470,0.150,0.205,,,,primary_review
val,fixtures/images/val/tractor_013.jpg,fixtures/labels/val/tractor_013.txt,tractor,3,0.686,review,0.090,0.320,0.530,0.150,0.205,,,,primary_review
test,fixtures/images/test/tractor_014.jpg,fixtures/labels/test/tractor_014.txt,tractor,3,0.668,review,0.130,0.440,0.590,0.150,0.205,,,,primary_review
train,fixtures/images/train/tractor_015.jpg,fixtures/labels/train/tractor_015.txt,tractor,3,0.650,review,0.170,0.560,0.350,0.150,0.205,,,,primary_review
train,fixtures/images/train/slipper_000.jpg,fixtures/labels/train/slipper_000.txt,slipper,4,0.920,review,0.050,0.200,0.350,0.160,0.220,,,,downgraded_to_review
val,fixtures/images/val/slipper_001.jpg,fixtures/labels/val/slipper_001.txt,slipper,4,0.902,auto,0.090,0.320,0.410,0.160,0.220,0.866000,0.927711,0.883817,agreed_auto
test,fixtures/images/test/slipper_002.jpg,fixtures/labels/test/slipper_002.txt,slipper,4,0.884,auto,0.130,0.440,0.470,0.160,0.220,0.852000,0.927711,0.867853,agreed_auto
train,fixtures/images/train/slipper_003.jpg,fixtures/labels/train/slipper_003.txt,slipper,4,0.866,review,0.170,0.560,0.530,0.160,0.220,,,,downgraded_to_review
val,fixtures/images/val/slipper_004.jpg,fixtures/labels/val/slipper_004.txt,slipper,4,0.848,auto,0.050,0.680,0.590,0.160,0.220,0.824000,0.927711,0.835914,agreed_auto
test,fixtures/images/test/slipper_005.jpg,fixtures/labels/test/slipper_005.txt,slipper,4,0.830,auto,0.090,0.800,0.350,0.160,0.220,0.810000,0.927711,0.819939,agreed_auto
train,fixtures/images/train/slipper_006.jpg,fixtures/labels/train/slipper_006.txt,slipper,4,0.812,review,0.130,0.200,0.410,0.160,0.220,,,,downgraded_to_review
val,fixtures/images/val/slipper_007.jpg,fixtures/labels/val/slipper_007.txt,slipper,4,0.794,auto,0.170,0.320,0.470,0.160,0.220,0.782000,0.927711,0.787977,agreed_auto
test,fixtures/images/test/slipper_008.jpg,fixtures/labels/test/slipper_008.txt,slipper,4,0.776,auto,0.050,0.440,0.530,0.160,0.220,0.768000,0.927711,0.771990,agreed_auto
train,fixtures/images/train/slipper_009.jpg,fixtures/labels/train/slipper_009.txt,slipper,4,0.758,review,0.090,0.560,0.590,0.160,0.220,,,,downgraded_to_review
val,fixtures/images/val/slipper_010.jpg,fixtures/labels/val/slipper_010.txt,slipper,4,0.740,auto,0.130,0.680,0.350,0.160,0.220,0.740000,0.927711,0.740000,agreed_auto
test,fixtures/images/test/slipper_011.jpg,fixtures/labels/test/slipper_011.txt,slipper,4,0.722,auto,0.170,0.800,0.410,0.160,0.220,0.726000,0.927711,0.723997,agreed_auto
train,fixtures/images/train/slipper_012.jpg,fixtures/labels/train/slipper_012.txt,slipper,4,0.704,review,0.050,0.200,0.470,0.160,0.220,,,,primary_review
val,fixtures/images/val/slipper_013.jpg,fixtures/labels/val/slipper_013.txt,slipper,4,0.686,review,0.090,0.320,0.530,0.160,0.220,,,,primary_review
test,fixtures/images/test/slipper_014.jpg,fixtures/labels/test/slipper_014.txt,slipper,4,0.668,review,0.130,0.440,0.590,0.160,0.220,,,,primary_review
train,fixtures/images/train/slipper_015.jpg,fixtures/labels/train/slipper_015.txt,slipper,4,0.650,review,0.170,0.560,0.350,0.160,0.220,,,,primary_review
train,fixtures/images/train/smoking_000.jpg,fixtures/labels/train/smoking_000.txt,smoking,5,0.920,review,0.050,0.200,0.350,0.170,0.235,,,,downgraded_to_review
val,fixtures/images/val/smoking_001.jpg,fixtures/labels/val/smoking_001.txt,smoking,5,0.902,auto,0.090,0.320,0.410,0.170,0.235,0.866000,0.931818,0.883817,agreed_auto
test,fixtures/images/test/smoking_002.jpg,fixtures/labels/test/smoking_002.txt,smoking,5,0.884,auto,0.130,0.440,0.470,0.170,0.235,0.852000,0.931818,0.867853,agreed_auto
train,fixtures/images/train/smoking_003.jpg,fixtures/labels/train/smoking_003.txt,smoking,5,0.866,review,0.170,0.560,0.530,0.170,0.235,,,,downgraded_to_review
val,fixtures/images/val/smoking_004.jpg,fixtures/labels/val/smoking_004.txt,smoking,5,0.848,auto,0.050,0.680,0.590,0.170,0.235,0.824000,0.931818,0.835914,agreed_auto
test,fixtures/images/test/smoking_005.jpg,fixtures/labels/test/smoking_005.txt,smoking,5,0.830,auto,0.090,0.800,0.350,0.170,0.235,0.810000,0.931818,0.819939,agreed_auto
train,fixtures/images/train/smoking_006.jpg,fixtures/labels/train/smoking_006.txt,smoking,5,0.812,review,0.130,0.200,0.410,0.170,0.235,,,,downgraded_to_review
val,fixtures/images/val/smoking_007.jpg,fixtures/labels/val/smoking_007.txt,smoking,5,0.794,auto,0.170,0.320,0.470,0.170,0.235,0.782000,0.931818,0.787977,agreed_auto
test,fixtures/images/test/smoking_008.jpg,fixtures/labels/test/smoking_008.txt,smoking,5,0.776,auto,0.050,0.440,0.530,0.170,0.235,0.768000,0.931818,0.771990,agreed_auto
train,fixtures/images/train/smoking_009.jpg,fixtures/labels/train/smoking_009.txt,smoking,5,0.758,review,0.090,0.560,0.590,0.170,0.235,,,,downgraded_to_review
val,fixtures/images/val/smoking_010.jpg,fixtures/labels/val/smoking_010.txt,smoking,5,0.740,auto,0.130,0.680,0.350,0.170,0.235,0.740000,0.931818,0.740000,agreed_auto
test,fixtures/images/test/smoking_011.jpg,fixtures/labels/test/smoking_011.txt,smoking,5,0.722,auto,0.170,0.800,0.410,0.170,0.235,0.726000,0.931818,0.723997,agreed_auto
train,fixtures/images/train/smoking_012.jpg,fixtures/labels/train/smoking_012.txt,smoking,5,0.704,review,0.050,0.200,0.470,0.170,0.235,,,,primary_review
val,fixtures/images/val/smoking_013.jpg,fixtures/labels/val/smoking_013.txt,smoking,5,0.686,review,0.090,0.320,0.530,0.170,0.235,,,,primary_review
test,fixtures/images/test/smoking_014.jpg,fixtures/labels/test/smoking_014.txt,smoking,5,0.668,review,0.130,0.440,0.590,0.170,0.235,,,,primary_review
train,fixtures/images/train/smoking_015.jpg,fixtures/labels/train/smoking_015.txt,smoking,5,0.650,review,0.170,0.560,0.350,0.170,0.235,,,,primary_review
