split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h,verifier_conf,agreement_iou,consensus_score,consensus_decision
test,fixtures/images/test/tractor_008.jpg,fixtures/labels/test/tractor_008.txt,tractor,3,0.776,auto,0.050,0.440,0.530,0.150,0.205,0.768000,0.923077,0.771990,agreed_auto
val,fixtures/images/val/tractor_010.jpg,fixtures/labels/val/tractor_010.txt,tractor,3,0.740,auto,0.130,0.680,0.350,0.150,0.205,0.740000,0.923077,0.740000,agreed_auto
test,fixtures/images/test/tractor_011.jpg,fixtures/labels/test/tractor_011.txt,tractor,3,0.722,auto,0.170,0.800,0.410,0.150,0.205,0.726000,0.923077,0.723997,agreed_auto
val,fixtures/images/val/slipper_001.jpg,fixtures/labels/val/slipper_001.txt,slipper,4,0.902,auto,0.090,0.320,0.410,0.160,0.220,0.866000,0.927711,0.883817,agreed_auto
test,fixtures/images/test/slipper_002.jpg,fixtures/labels/test/slipper_002.txt,slipper,4,0.884,auto,0.130,0.440,0.470,0.160,0.220,0.852000,0.927711,0.867853,agreed_auto
val,fixtures/images/val/slipper_004.jpg,fixtures/labels/val/slipper_004.txt,slipper,4,0.848,auto,0.050,0.680,0.590,0.160,0.220,0.824000,0.927711,0.835914,agreed_auto
test,fixtures/images/test/slipper_005.jpg,fixtures/labels/test/slipper_005.txt,slipper,4,0.830,auto,0.090,0.800,0.350,0.160,0.220,0.810000,0.927711,0.819939,agreed_auto
val,fixtures/images/val/slipper_007.jpg,fixtures/labels/val/slipper_007.txt,slipper,4,0.794,auto,0.170,0.320,0.470,0.160,0.220,0.782000,0.927711,0.787977,agreed_auto
test,fixtures/images/test/slipper_008.jpg,fixtures/labels/test/slipper_008.txt,slipper,4,0.776,auto,0.050,0.440,0.530,0.160,0.220,0.768000,0.927711,0.771990,agreed_auto
val,fixtures/images/val/slipper_010.jpg,fixtures/labels/val/slipper_010.txt,slipper,4,0.740,auto,0.130,0.680,0.350,0.160,0.220,0.740000,0.927711,0.740000,agreed_auto
test,fixtures/images/test/slipper_011.jpg,fixtures/labels/test/slipper_011.txt,slipper,4,0.722,auto,0.170,0.800,0.410,0.160,0.220,0.726000,0.927711,0.723997,agreed_auto
val,fixtures/images/val/smoking_001.jpg,fixtures/labels/val/smoking_001.txt,smoking,5,0.902,auto,0.090,0.320,0.410,0.170,0.235,0.866000,0.931818,0.883817,agreed_auto
test,fixtures/images/test/smoking_002.jpg,fixtures/labels/test/smoking_002.txt,smoking,5,0.884,auto,0.130,0.440,0.470,0.170,0.235,0.852000,0.931818,0.867853,agreed_auto
val,fixtures/images/val/smoking_004.jpg,fixtures/labels/val/smoking_004.txt,smoking,5,0.848,auto,0.050,0.680,0.590,0.170,0.235,0.824000,0.931818,0.835914,agreed_auto
test,fixtures/images/test/smoking_005.jpg,fixtures/labels/test/smoking_005.txt,smoking,5,0.830,auto,0.090,0.800,0.350,0.170,0.235,0.810000,0.931818,0.819939,agreed_auto
val,fixtures/images/val/smoking_007.jpg,fixtures/labels/val/smoking_007.txt,smoking,5,0.794,auto,0.170,0.320,0.470,0.170,0.235,0.782000,0.931818,0.787977,agreed_auto
test,fixtures/images/test/smoking_008.jpg,fixtures/labels/test/smoking_008.txt,smoking,5,0.776,auto,0.050,0.440,0.530,0.170,0.235,0.768000,0.931818,0.771990,agreed_auto
val,fixtures/images/val/smoking_010.jpg,fixtures/labels/val/smoking_010.txt,smoking,5,0.740,auto,0.130,0.680,0.350,0.170,0.235,0.740000,0.931818,0.740000,agreed_auto
test,fixtures/images/test/smoking_011.jpg,fixtures/labels/test/smoking_011.txt,smoking,5,0.722,auto,0.170,0.800,0.410,0.170,0.235,0.726000,0.931818,0.723997,agreed_auto
