split,image,label,class_name,class_id,conf,mode,max_iou_same_class,cx,cy,w,h,verifier_conf,agreement_iou,consensus_score,consensus_decision
val,fixtures/images/val/vest_013.jpg,fixtures/labels/val/vest_013.txt,vest,2,0.686,review,0.090,0.320,0.530,0.140,0.190,,,,primary_review
test,fixtures/images/test/vest_014.jpg,fixtures/labels/test/vest_014.txt,vest,2,0.668,review,0.130,0.440,0.590,0.140,0.190,,,,primary_review
train,fixtures/images/train/vest_015.jpg,fixtures/labels/train/vest_015.txt,vest,2,0.650,review,0.170,0.560,0.350,0.140,0.190,,,,primary_review
train,fixtures/images/train/tractor_000.jpg,fixtures/labels/train/tractor_000.txt,tractor,3,0.920,review,0.050,0.200,0.350,0.150,0.205,,,,downgraded_to_review
train,fixtures/images/train/tractor_003.jpg,fixtures/labels/train/tractor_003.txt,tractor,3,0.866,review,0.170,0.560,0.530,0.150,0.205,,,,downgraded_to_review
train,fixtures/images/train/tractor_006.jpg,fixtures/labels/train/tractor_006.txt,tractor,3,0.812,review,0.130,0.200,0.410,0.150,0.205,,,,downgraded_to_review
train,fixtures/images/train/tractor_009.jpg,fixtures/labels/train/tractor_009.txt,tractor,3,0.758,review,0.090,0.560,0.590,0.150,0.205,,,,downgraded_to_review
train,fixtures/images/train/tractor_012.jpg,fixtures/labels/train/tractor_012.txt,tractor,3,0.704,review,0.050,0.200,0.470,0.150,0.205,,,,primary_review
val,fixtures/images/val/tractor_013.jpg,fixtures/labels/val/tractor_013.txt,tractor,3,0.686,review,0.090,0.320,0.530,0.150,0.205,,,,primary_review
test,fixtures/images/test/tractor_014.jpg,fixtures/labels/test/tractor_014.txt,tractor,3,0.668,review,0.130,0.440,0.590,0.150,0.205,,,,primary_review
train,fixtures/images/train/tractor_015.jpg,fixtures/labels/train/tractor_015.txt,tractor,3,0.650,review,0.170,0.560,0.350,0.150,0.205,,,,primary_review
train,fixtures/images/train/slipper_000.jpg,fixtures/labels/train/slipper_000.txt,slipper,4,0.920,review,0.050,0.200,0.350,0.160,0.220,,,,downgraded_to_review
train,fixtures/images/train/slipper_003.jpg,fixtures/labels/train/slipper_003.txt,slipper,4,0.866,review,0.170,0.560,0.530,0.160,0.220,,,,downgraded_to_review
train,fixtures/images/train/slipper_006.jpg,fixtures/labels/train/slipper_006.txt,slipper,4,0.812,review,0.130,0.200,0.410,0.160,0.220,,,,downgraded_to_review
train,fixtures/images/train/slipper_009.jpg,fixtures/labels/train/slipper_009.txt,slipper,4,0.758,review,0.090,0.560,0.590,0.160,0.220,,,,downgraded_to_review
train,fixtures/images/train/slipper_012.jpg,fixtures/labels/train/slipper_012.txt,slipper,4,0.704,review,0.050,0.200,0.470,0.160,0.220,,,,primary_review
val,fixtures/images/val/slipper_013.jpg,fixtures/labels/val/slipper_013.txt,slipper,4,0.686,review,0.090,0.320,0.530,0.160,0.220,,,,primary_review
test,fixtures/images/test/slipper_014.jpg,fixtures/labels/test/slipper_014.txt,slipper,4,0.668,review,0.130,0.440,0.590,0.160,0.220,,,,primary_review
train,fixtures/images/train/slipper_015.jpg,fixtures/labels/train/slipper_015.txt,slipper,4,0.650,review,0.170,0.560,0.350,0.160,0.220,,,,primary_review
train,fixtures/images/train/smoking_000.jpg,fixtures/labels/train/smoking_000.txt,smoking,5,0.920,review,0.050,0.200,0.350,0.170,0.235,,,,downgraded_to_review
train,fixtures/images/train/smoking_003.jpg,fixtures/labels/train/smoking_003.txt,smoking,5,0.866,review,0.170,0.560,0.530,0.170,0.235,,,,downgraded_to_review
train,fixtures/images/train/smoking_006.jpg,fixtures/labels/train/smoking_006.txt,smoking,5,0.812,review,0.130,0.200,0.410,0.170,0.235,,,,downgraded_to_review
train,fixtures/images/train/smoking_009.jpg,fixtures/labels/train/smoking_009.txt,smoking,5,0.758,review,0.090,0.560,0.590,0.170,0.235,,,,downgraded_to_review
train,fixtures/images/train/smoking_012.jpg,fixtures/labels/train/smoking_012.txt,smoking,5,0.704,review,0.050,0.200,0.470,0.170,0.235,,,,primary_review
val,fixtures/images/val/smoking_013.jpg,fixtures/labels/val/smoking_013.txt,smoking,5,0.686,review,0.090,0.320,0.530,0.170,0.235,,,,primary_review
test,fixtures/images/test/smoking_014.jpg,fixtures/labels/test/smoking_014.txt,smoking,5,0.668,review,0.130,0.440,0.590,0.170,0.235,,,,primary_review
train,fixtures/images/train/smoking_015.jpg,fixtures/labels/train/smoking_015.txt,smoking,5,0.650,review,0.170,0.560,0.350,0.170,0.235,,,,primary_review
